Printing Modifier Definitions:
Tag: diplomacy, Categories: character
Tag: martial, Categories: character
Tag: stewardship, Categories: character
Tag: intrigue, Categories: character
Tag: learning, Categories: character
Tag: prowess, Categories: character
Tag: negate_diplomacy_penalty_add, Categories: character
Tag: negate_martial_penalty_add, Categories: character
Tag: negate_stewardship_penalty_add, Categories: character
Tag: negate_intrigue_penalty_add, Categories: character
Tag: negate_learning_penalty_add, Categories: character
Tag: negate_prowess_penalty_add, Categories: character
Tag: no_prowess_loss_from_age, Categories: character
Tag: diplomacy_per_piety_level, Categories: character
Tag: martial_per_piety_level, Categories: character
Tag: stewardship_per_piety_level, Categories: character
Tag: intrigue_per_piety_level, Categories: character
Tag: learning_per_piety_level, Categories: character
Tag: prowess_per_piety_level, Categories: character
Tag: diplomacy_per_prestige_level, Categories: character
Tag: martial_per_prestige_level, Categories: character
Tag: stewardship_per_prestige_level, Categories: character
Tag: intrigue_per_prestige_level, Categories: character
Tag: learning_per_prestige_level, Categories: character
Tag: prowess_per_prestige_level, Categories: character
Tag: piety_level_impact_mult, Categories: character
Tag: prestige_level_impact_mult, Categories: character
Tag: diplomacy_per_stress_level, Categories: character
Tag: martial_per_stress_level, Categories: character
Tag: stewardship_per_stress_level, Categories: character
Tag: intrigue_per_stress_level, Categories: character
Tag: learning_per_stress_level, Categories: character
Tag: prowess_per_stress_level, Categories: character
Tag: random_skills_per_child, Categories: character
Tag: fertility, Categories: character
Tag: health, Categories: character
Tag: negate_fertility_penalty_add, Categories: character
Tag: negate_health_penalty_add, Categories: character
Tag: monthly_income, Categories: character
Tag: monthly_income_mult, Categories: character
Tag: monthly_war_income_add, Categories: character
Tag: monthly_war_income_mult, Categories: character
Tag: monthly_income_per_stress_level_add, Categories: character
Tag: monthly_income_per_stress_level_mult, Categories: character
Tag: monthly_piety, Categories: character
Tag: monthly_piety_gain_mult, Categories: character
Tag: monthly_piety_gain_per_happy_powerful_vassal_add, Categories: character
Tag: monthly_piety_gain_per_happy_powerful_vassal_mult, Categories: character
Tag: monthly_piety_gain_per_dread_add, Categories: character
Tag: monthly_piety_gain_per_dread_mult, Categories: character
Tag: monthly_piety_gain_per_knight_add, Categories: character
Tag: monthly_piety_gain_per_knight_mult, Categories: character
Tag: monthly_prestige, Categories: character
Tag: monthly_prestige_gain_mult, Categories: character
Tag: monthly_prestige_gain_per_happy_powerful_vassal_add, Categories: character
Tag: monthly_prestige_gain_per_happy_powerful_vassal_mult, Categories: character
Tag: monthly_prestige_gain_per_dread_add, Categories: character
Tag: monthly_prestige_gain_per_dread_mult, Categories: character
Tag: monthly_prestige_gain_per_knight_add, Categories: character
Tag: monthly_prestige_gain_per_knight_mult, Categories: character
Tag: monthly_piety_from_buildings_mult, Categories: character
Tag: monthly_prestige_from_buildings_mult, Categories: character
Tag: monthly_dynasty_prestige, Categories: character
Tag: monthly_dynasty_prestige_mult, Categories: character
Tag: stress_gain_mult, Categories: character
Tag: stress_loss_mult, Categories: character
Tag: monthly_dread, Categories: character
Tag: dread_gain_mult, Categories: character
Tag: dread_loss_mult, Categories: character
Tag: tyranny_gain_mult, Categories: character
Tag: tyranny_loss_mult, Categories: character
Tag: monthly_tyranny, Categories: character
Tag: dread_baseline_add, Categories: character
Tag: dread_decay_add, Categories: character
Tag: dread_decay_mult, Categories: character
Tag: dread_per_tyranny_add, Categories: character
Tag: dread_per_tyranny_mult, Categories: character
Tag: domain_limit, Categories: character
Tag: vassal_limit, Categories: character
Tag: domain_tax_mult, Categories: character
Tag: domain_tax_same_faith_mult, Categories: character
Tag: domain_tax_different_faith_mult, Categories: character
Tag: domain_tax_mult_even_if_baron, Categories: character
Tag: domain_tax_same_faith_mult_even_if_baron, Categories: character
Tag: domain_tax_different_faith_mult_even_if_baron, Categories: character
Tag: vassal_tax_mult, Categories: character
Tag: men_at_arms_maintenance, Categories: character
Tag: men_at_arms_maintenance_per_dread_mult, Categories: character
Tag: army_maintenance_mult, Categories: character
Tag: short_reign_duration_mult, Categories: character
Tag: long_reign_bonus_mult, Categories: character
Tag: diplomatic_range_mult, Categories: character
Tag: inbreeding_chance, Categories: character
Tag: positive_inactive_inheritance_chance, Categories: character
Tag: negative_inactive_inheritance_chance, Categories: character
Tag: positive_random_genetic_chance, Categories: character
Tag: negative_random_genetic_chance, Categories: character
Tag: genetic_trait_strengthen_chance, Categories: character
Tag: life_expectancy, Categories: character
Tag: years_of_fertility, Categories: character
Tag: knight_limit, Categories: character
Tag: knight_effectiveness_mult, Categories: character
Tag: title_creation_cost, Categories: character
Tag: title_creation_cost_mult, Categories: character
Tag: monthly_lifestyle_xp_gain_mult, Categories: character
Tag: mercenary_hire_cost_add, Categories: character
Tag: mercenary_hire_cost_mult, Categories: character
Tag: same_culture_mercenary_hire_cost_add, Categories: character
Tag: same_culture_mercenary_hire_cost_mult, Categories: character
Tag: holy_order_hire_cost_mult, Categories: character
Tag: holy_order_hire_cost_add, Categories: character
Tag: same_culture_holy_order_hire_cost_mult, Categories: character
Tag: same_culture_holy_order_hire_cost_add, Categories: character
Tag: opinion_of_female_rulers, Categories: character
Tag: opinion_of_male_rulers, Categories: character
Tag: opinion_of_same_culture, Categories: character
Tag: opinion_of_different_culture, Categories: character
Tag: opinion_of_same_faith, Categories: character
Tag: opinion_of_different_faith, Categories: character
Tag: opinion_of_liege, Categories: character
Tag: opinion_of_vassal, Categories: character
Tag: opinion_of_different_faith_liege, Categories: character
Tag: same_culture_opinion, Categories: character
Tag: different_culture_opinion, Categories: character
Tag: same_faith_opinion, Categories: character
Tag: different_faith_opinion, Categories: character
Tag: direct_vassal_opinion, Categories: character
Tag: fellow_vassal_opinion, Categories: character
Tag: independent_ruler_opinion, Categories: character
Tag: general_opinion, Categories: character
Tag: attraction_opinion, Categories: character
Tag: religious_vassal_opinion, Categories: character
Tag: religious_head_opinion, Categories: character
Tag: spouse_opinion, Categories: character
Tag: twin_opinion, Categories: character
Tag: close_relative_opinion, Categories: character
Tag: dynasty_house_opinion, Categories: character
Tag: dynasty_opinion, Categories: character
Tag: liege_opinion, Categories: character
Tag: different_faith_liege_opinion, Categories: character
Tag: vassal_opinion, Categories: character
Tag: clergy_opinion, Categories: character
Tag: councillor_opinion, Categories: character
Tag: realm_priest_opinion, Categories: character
Tag: powerful_vassal_opinion, Categories: character
Tag: courtier_opinion, Categories: character
Tag: guest_opinion, Categories: character
Tag: courtier_and_guest_opinion, Categories: character
Tag: prisoner_opinion, Categories: character
Tag: player_heir_opinion, Categories: character
Tag: child_opinion, Categories: character
Tag: child_except_player_heir_opinion, Categories: character
Tag: eligible_child_opinion, Categories: character
Tag: eligible_child_except_player_heir_opinion, Categories: character
Tag: ignore_negative_culture_opinion, Categories: character
Tag: ignore_negative_opinion_of_culture, Categories: character
Tag: ignore_different_faith_opinion, Categories: character
Tag: ignore_opinion_of_different_faith, Categories: character
Tag: max_loot_mult, Categories: character
Tag: pursue_efficiency, Categories: combat
Tag: counter_efficiency, Categories: combat
Tag: min_combat_roll, Categories: combat
Tag: max_combat_roll, Categories: combat
Tag: men_at_arms_limit, Categories: combat
Tag: men_at_arms_cap, Categories: combat
Tag: embarkation_cost_mult, Categories: combat
Tag: naval_movement_speed_mult, Categories: combat
Tag: siege_phase_time, Categories: siege
Tag: siege_morale_loss, Categories: siege
Tag: revolting_siege_morale_loss_add, Categories: siege
Tag: revolting_siege_morale_loss_mult, Categories: siege
Tag: vassal_tax_contribution_add, Categories: government
Tag: vassal_tax_contribution_mult, Categories: government
Tag: intimidated_vassal_tax_contribution_add, Categories: character
Tag: intimidated_vassal_tax_contribution_mult, Categories: character
Tag: cowed_vassal_tax_contribution_add, Categories: character
Tag: cowed_vassal_tax_contribution_mult, Categories: character
Tag: vassal_levy_contribution_add, Categories: government
Tag: vassal_levy_contribution_mult, Categories: government
Tag: intimidated_vassal_levy_contribution_add, Categories: character
Tag: intimidated_vassal_levy_contribution_mult, Categories: character
Tag: cowed_vassal_levy_contribution_add, Categories: character
Tag: cowed_vassal_levy_contribution_mult, Categories: character
Tag: happy_powerful_vassal_tax_contribution_add, Categories: character
Tag: happy_powerful_vassal_tax_contribution_mult, Categories: character
Tag: happy_powerful_vassal_levy_contribution_add, Categories: character
Tag: happy_powerful_vassal_levy_contribution_mult, Categories: character
Tag: scheme_power, Categories: scheme
Tag: scheme_resistance, Categories: scheme
Tag: scheme_secrecy, Categories: scheme
Tag: scheme_success_chance, Categories: scheme
Tag: hostile_scheme_power_add, Categories: character
Tag: hostile_scheme_power_mult, Categories: character
Tag: personal_scheme_power_add, Categories: character
Tag: personal_scheme_power_mult, Categories: character
Tag: hostile_scheme_resistance_add, Categories: character
Tag: hostile_scheme_resistance_mult, Categories: character
Tag: personal_scheme_resistance_add, Categories: character
Tag: personal_scheme_resistance_mult, Categories: character
Tag: diplomacy_scheme_power, Categories: character
Tag: intrigue_scheme_power, Categories: character
Tag: stewardship_scheme_power, Categories: character
Tag: martial_scheme_power, Categories: character
Tag: prowess_scheme_power, Categories: character
Tag: learning_scheme_power, Categories: character
Tag: diplomacy_scheme_resistance, Categories: character
Tag: intrigue_scheme_resistance, Categories: character
Tag: stewardship_scheme_resistance, Categories: character
Tag: martial_scheme_resistance, Categories: character
Tag: prowess_scheme_resistance, Categories: character
Tag: learning_scheme_resistance, Categories: character
Tag: scheme_discovery_chance_mult, Categories: character
Tag: max_personal_schemes_add, Categories: character
Tag: max_hostile_schemes_add, Categories: character
Tag: owned_hostile_scheme_success_chance_add, Categories: character
Tag: owned_personal_scheme_success_chance_add, Categories: character
Tag: enemy_hostile_scheme_success_chance_add, Categories: character
Tag: enemy_personal_scheme_success_chance_add, Categories: character
Tag: owned_scheme_secrecy_add, Categories: character
Tag: movement_speed, Categories: combat
Tag: retreat_losses, Categories: combat
Tag: hard_casualty_modifier, Categories: combat
Tag: enemy_hard_casualty_modifier, Categories: combat
Tag: advantage, Categories: combat
Tag: attacker_advantage, Categories: combat
Tag: defender_advantage, Categories: combat
Tag: enemy_terrain_advantage, Categories: combat
Tag: tolerance_advantage_mod, Categories: combat
Tag: advantage_against_coreligionists, Categories: combat
Tag: random_advantage, Categories: combat
Tag: controlled_province_advantage, Categories: combat
Tag: no_water_crossing_penalty, Categories: combat
Tag: raid_speed, Categories: combat
Tag: hostile_county_attrition, Categories: combat
Tag: supply_duration, Categories: combat
Tag: winter_movement_speed, Categories: combat
Tag: supply_loss_winter, Categories: combat
Tag: hard_casualty_winter, Categories: combat
Tag: winter_advantage, Categories: combat
Tag: supply_limit_mult, Categories: province
Tag: supply_limit, Categories: province
Tag: fort_level, Categories: holding
Tag: additional_fort_level, Categories: holding
Tag: supply_capacity_add, Categories: province
Tag: supply_capacity_mult, Categories: province
Tag: hostile_raid_time, Categories: province
Tag: defender_winter_advantage, Categories: province
Tag: levy_size, Categories: holding
Tag: garrison_size, Categories: holding
Tag: levy_reinforcement_rate, Categories: holding
Tag: levy_reinforcement_rate_same_faith, Categories: character
Tag: levy_reinforcement_rate_different_faith, Categories: character
